iter	RMSE
0	0.229933517
1	0.224536619
2	0.2188646798
3	0.213569994
4	0.2085675248
5	0.2039343755
6	0.1992920444
7	0.1950418609
8	0.1915156364
9	0.1878922839
10	0.1845304006
11	0.181201038
12	0.1780085879
13	0.1750569436
14	0.1723985114
15	0.1697588392
16	0.1673411093
17	0.1651275822
18	0.1629205936
19	0.1607848195
20	0.1588972772
21	0.1572478068
22	0.1555811854
23	0.1539996061
24	0.1528055451
25	0.1516093387
26	0.1505250914
27	0.149323148
28	0.1482714656
29	0.1472614597
30	0.146154094
31	0.1451615414
32	0.1442615094
33	0.1434745942
34	0.142671391
35	0.1419847452
36	0.1411569283
37	0.1404176101
38	0.1396918322
39	0.1391973817
40	0.1386291046
41	0.1381218381
42	0.1376075931
43	0.1370908062
44	0.1365126709
45	0.1360645416
46	0.1356037762
47	0.1352673367
48	0.1348690837
49	0.1344941545
50	0.1341750871
51	0.1338789038
52	0.1334868244
53	0.1332636519
54	0.1330208644
55	0.1327890924
56	0.1325003534
57	0.1321710395
58	0.131965362
59	0.1317264288
60	0.1315155534
61	0.1312477944
62	0.1310608356
63	0.130793352
64	0.1306500291
65	0.1304602354
66	0.1302558043
67	0.1300573429
68	0.1299066113
69	0.1296492643
70	0.1294523165
71	0.1293025465
72	0.1291713802
73	0.1290156124
74	0.1288629664
75	0.1287602949
76	0.1286634988
77	0.1284310896
78	0.1282577996
79	0.1280214485
80	0.1279178868
81	0.1277187924
82	0.1275069503
83	0.127421762
84	0.1272657255
85	0.1271260742
86	0.1269059948
87	0.1268038292
88	0.1266726167
89	0.1265165339
90	0.126420397
91	0.1262984041
92	0.1262128679
93	0.1261460612
94	0.1260401231
95	0.1259241908
96	0.1257898099
97	0.1256785143
98	0.1255683264
99	0.1255144915
100	0.1253849403
101	0.1253153024
102	0.1252125843
103	0.1251290058
104	0.125070447
105	0.1249752859
106	0.1247790224
107	0.1245678864
108	0.1244142708
109	0.1242686695
110	0.124179394
111	0.124085291
112	0.1240243352
113	0.1239311742
114	0.1237127728
115	0.1235911301
116	0.1234601057
117	0.1233732413
118	0.1232680283
119	0.1231763673
120	0.1230769094
121	0.1229883779
122	0.1228729975
123	0.1228134774
124	0.1227093354
125	0.1225838859
126	0.1225110872
127	0.1223541927
128	0.122281868
129	0.1222318395
130	0.1221054684
131	0.1218642808
132	0.1217882784
133	0.1217101449
134	0.1215362896
135	0.1214608406
136	0.1213194719
137	0.1212324579
138	0.121156279
139	0.1210360056
140	0.1209180914
141	0.1208273557
142	0.1207461732
143	0.1206208244
144	0.1205274053
145	0.1204316493
146	0.1202945918
147	0.1202499217
148	0.1201885608
149	0.1200695868
150	0.1199609971
151	0.1198817735
152	0.1197320501
153	0.1196783215
154	0.1195491031
155	0.1194628132
156	0.1192643613
157	0.1191854775
158	0.1190039279
159	0.1189289728
160	0.1188181967
161	0.1186585209
162	0.118519537
163	0.1183647959
164	0.1182716093
165	0.1181907765
166	0.1181102566
167	0.118037521
168	0.1179135117
169	0.1176942817
170	0.1175656141
171	0.1174503168
172	0.1173600262
173	0.1172448929
174	0.1171223877
175	0.117060015
176	0.1169593158
177	0.1167916226
178	0.1167466253
179	0.1166554194
180	0.1165687923
181	0.1165385263
182	0.1164630941
183	0.1163993474
184	0.1162308351
185	0.1161787047
186	0.1160216595
187	0.115902256
188	0.1158328471
189	0.1156240732
190	0.1155508988
191	0.1154662628
192	0.1153815465
193	0.1151890046
194	0.1150888289
195	0.114981311
196	0.1149037578
197	0.1147694215
198	0.1146546261
199	0.114625843
200	0.1144529101
201	0.1142373284
202	0.1141258444
203	0.1140914496
204	0.1139983264
205	0.1139376044
206	0.1137115395
207	0.1136334739
208	0.1134789842
209	0.1133457429
210	0.1132266332
211	0.1130259661
212	0.1128852909
213	0.1127976844
214	0.1126325579
215	0.1125528834
216	0.1125065942
217	0.1124333619
218	0.1123574181
219	0.1122122151
220	0.1121455789
221	0.1120766236
222	0.1119094661
223	0.1118229335
224	0.1116863277
225	0.1116193172
226	0.1114247183
227	0.1112924388
228	0.1111779444
229	0.1111314696
230	0.1110281336
231	0.1108697992
232	0.1107295729
233	0.1106046139
234	0.1105284535
235	0.1104663783
236	0.1104060748
237	0.1102553598
238	0.1101086413
239	0.1100421082
240	0.1099596899
241	0.1098476026
242	0.109683389
243	0.1095430031
244	0.1094944153
245	0.1093672378
246	0.1092068206
247	0.1090944092
248	0.1089835329
249	0.1088151256
250	0.1087225346
251	0.108630393
252	0.1085422437
253	0.1084819937
254	0.1083672078
255	0.1083294682
256	0.1082345645
257	0.1081477274
258	0.1080224468
259	0.1078151132
260	0.1077795678
261	0.1076224072
262	0.1074964813
263	0.1073327654
264	0.1071544976
265	0.1070564309
266	0.1069389171
267	0.1068484228
268	0.1067951795
269	0.1066663239
270	0.1065659791
271	0.106486806
272	0.1063778966
273	0.1063716581
274	0.106236499
275	0.1061731519
276	0.1060943489
277	0.1060382661
278	0.1059542603
279	0.1058330847
280	0.105695347
281	0.1056572554
282	0.1056204917
283	0.1055543609
284	0.1054552543
285	0.1054491399
286	0.1053932703
287	0.1052781648
288	0.1051869332
289	0.1050690669
290	0.1049529748
291	0.1048062742
292	0.1047378168
293	0.1046664619
294	0.1045420523
295	0.1044241774
296	0.1043603611
297	0.1042482658
298	0.1042041681
299	0.1041308817
300	0.1040492046
301	0.1039779015
302	0.103907247
303	0.1037554224
304	0.1036059385
305	0.1035298881
306	0.1034942774
307	0.1034500815
308	0.1034114786
309	0.1032894225
310	0.103200506
311	0.1031602003
312	0.102977293
313	0.1029272363
314	0.1028503403
315	0.1027281359
316	0.1025999366
317	0.1025334263
318	0.1023998128
319	0.1023152493
320	0.1022463361
321	0.1021820461
322	0.1021369636
323	0.1020371268
324	0.1019989025
325	0.1019559124
326	0.10184798
327	0.1017876388
328	0.1016703122
329	0.1015974781
330	0.1014855909
331	0.1014030664
332	0.1013603991
333	0.1013162579
334	0.1012747199
335	0.1011804981
336	0.1011144624
337	0.1010367432
338	0.1009325515
339	0.1008360568
340	0.1007656563
341	0.1006957244
342	0.1005911147
343	0.1005624466
344	0.1004523973
345	0.1003512029
346	0.1002851189
347	0.1001591475
348	0.1000120185
349	0.09990732875
350	0.09975871449
351	0.09968410746
352	0.09961433014
353	0.09954598552
354	0.09947397435
355	0.09940736823
356	0.09931607811
357	0.09924156442
358	0.09918045287
359	0.09911730602
360	0.09905307409
361	0.09900191582
362	0.09894709341
363	0.09890444083
364	0.09886761156
365	0.09881229875
366	0.09874148638
367	0.0985916772
368	0.09850702185
369	0.0984605753
370	0.0984136934
371	0.09829006696
372	0.09824523279
373	0.09817965693
374	0.09808385929
375	0.09801198214
376	0.09793181013
377	0.0978585378
378	0.09778759197
379	0.09764948267
380	0.09749142669
381	0.09743803765
382	0.09738730919
383	0.09735112237
384	0.09731752303
385	0.09717176938
386	0.09712476893
387	0.09708012722
388	0.09705677557
389	0.09701587093
390	0.09695271655
391	0.09691909481
392	0.09689970892
393	0.09682472605
394	0.09677405872
395	0.09673843959
396	0.09656941073
397	0.0965319536
398	0.09648169314
399	0.0964074759
400	0.09633832593
401	0.09628312451
402	0.0961520692
403	0.0961076243
404	0.09598799384
405	0.09590577598
406	0.09587989117
407	0.09585182524
408	0.09576627913
409	0.09571101565
410	0.09569075796
411	0.09561459563
412	0.09550174549
413	0.09536774785
414	0.09530685179
415	0.09526225388
416	0.09519020768
417	0.09512383687
418	0.09508765122
419	0.09506647273
420	0.09501997819
421	0.09493453179
422	0.09491058017
423	0.09487940263
424	0.09476399259
425	0.09468014245
426	0.09462941373
427	0.09449867741
428	0.09447559564
429	0.09445702438
430	0.0943934982
431	0.09436018639
432	0.09426469853
433	0.09415614448
434	0.09413642442
435	0.09405056388
436	0.09401169097
437	0.0939682371
438	0.09389530277
439	0.09387399096
440	0.09383764453
441	0.09373226973
442	0.09365674306
443	0.09361169217
444	0.09354801244
445	0.09353497069
446	0.09350698397
447	0.09345549133
448	0.09330347441
449	0.09323968037
450	0.093152587
451	0.0931241488
452	0.09308662592
453	0.09299732697
454	0.09284977777
455	0.09279189144
456	0.09269063675
457	0.09265757666
458	0.09252631396
459	0.09249759861
460	0.09241717781
461	0.09235914833
462	0.09227870102
463	0.09221281381
464	0.09211902947
465	0.09204531642
466	0.0920193481
467	0.09191774825
468	0.0918029871
469	0.09176483611
470	0.09168883341
471	0.09162900994
472	0.09155238612
473	0.09152147467
474	0.09144625836
475	0.09141391411
476	0.09131327088
477	0.09125291629
478	0.0912084256
479	0.09119666561
480	0.09113152739
481	0.09109641657
482	0.09100115499
483	0.0909527686
484	0.09087267766
485	0.09083369178
486	0.09071843599
487	0.09063208236
488	0.09056358932
489	0.09044663708
490	0.09040864899
491	0.09033042098
492	0.0902186333
493	0.09012724306
494	0.0900180269
495	0.089990795
496	0.0899298399
497	0.08985158592
498	0.08983450396
499	0.08979249794
