iter	Passed	Remaining
0	0	290
1	0	239
2	1	229
3	1	217
4	2	209
5	2	204
6	2	202
7	3	198
8	3	195
9	3	191
10	5	222
11	5	217
12	5	214
13	6	210
14	6	207
15	6	204
16	7	202
17	7	200
18	7	198
19	8	196
20	8	194
21	9	196
22	9	195
23	9	193
24	10	194
25	10	193
26	10	192
27	11	191
28	11	190
29	12	188
30	12	187
31	12	186
32	13	186
33	13	185
34	13	185
35	14	184
36	14	183
37	14	182
38	15	181
39	15	181
40	16	180
41	16	179
42	16	178
43	17	177
44	17	176
45	17	175
46	18	174
47	18	173
48	18	173
49	19	172
50	19	171
51	19	170
52	20	170
53	20	169
54	20	169
55	21	168
56	21	167
57	21	167
58	22	166
59	22	166
60	22	165
61	23	164
62	23	164
63	24	163
64	24	163
65	24	162
66	25	161
67	25	161
68	26	165
69	26	164
70	27	164
71	27	164
72	27	163
73	28	163
74	28	162
75	29	162
76	29	161
77	29	161
78	30	160
79	30	159
80	30	159
81	31	158
82	31	158
83	31	157
84	32	157
85	32	157
86	32	156
87	33	156
88	33	156
89	34	155
90	34	155
91	34	154
92	35	154
93	35	153
94	35	153
95	36	152
96	36	152
97	37	151
98	37	151
99	37	150
100	38	150
101	38	149
102	38	149
103	39	148
104	39	148
105	39	148
106	40	147
107	40	147
108	40	146
109	41	146
110	41	145
111	41	145
112	42	144
113	42	144
114	43	144
115	43	143
116	43	143
117	44	142
118	44	142
119	44	141
120	45	141
121	45	141
122	45	140
123	46	140
124	46	139
125	46	139
126	47	138
127	47	138
128	48	138
129	48	138
130	48	137
131	49	137
132	49	136
133	49	136
134	50	135
135	50	135
136	50	134
137	51	134
138	51	134
139	51	133
140	52	133
141	52	132
142	53	132
143	53	132
144	53	131
145	54	131
146	54	130
147	54	130
148	55	130
149	55	129
150	55	129
151	56	128
152	56	128
153	56	127
154	57	127
155	57	127
156	57	126
157	58	126
158	58	125
159	58	125
160	59	124
161	59	124
162	60	124
163	60	123
164	60	123
165	61	122
166	61	122
167	61	122
168	62	121
169	62	121
170	62	120
171	63	120
172	63	120
173	63	119
174	64	119
175	64	119
176	65	118
177	65	118
178	65	117
179	66	117
180	66	117
181	66	116
182	67	116
183	67	115
184	67	115
185	68	114
186	68	114
187	68	114
188	69	113
189	69	113
190	69	112
191	70	112
192	70	112
193	70	111
194	71	111
195	71	110
196	71	110
197	72	110
198	72	109
199	72	109
200	73	109
201	73	108
202	74	108
203	74	107
204	74	107
205	75	107
206	75	106
207	75	106
208	76	106
209	76	105
210	76	105
211	77	104
212	77	104
213	78	104
214	78	104
215	78	103
216	79	103
217	79	102
218	79	102
219	80	102
220	80	101
221	80	101
222	81	100
223	81	100
224	81	100
225	82	99
226	82	99
227	82	98
228	83	98
229	83	98
230	83	97
231	84	97
232	84	97
233	85	96
234	85	96
235	85	95
236	85	95
237	86	95
238	86	94
239	87	94
240	87	93
241	87	93
242	88	93
243	88	92
244	88	92
245	89	92
246	89	91
247	89	91
248	90	91
249	90	90
250	91	90
251	91	89
252	91	89
253	92	89
254	92	88
255	92	88
256	93	88
257	93	87
258	93	87
259	94	87
260	94	86
261	95	86
262	95	85
263	95	85
264	96	85
265	96	84
266	96	84
267	97	84
268	97	83
269	97	83
270	98	83
271	98	82
272	99	82
273	99	82
274	99	81
275	100	81
276	100	80
277	100	80
278	101	80
279	101	79
280	101	79
281	102	78
282	102	78
283	102	78
284	103	77
285	103	77
286	103	77
287	104	76
288	104	76
289	104	76
290	105	75
291	105	75
292	105	74
293	106	74
294	106	74
295	106	73
296	107	73
297	107	72
298	108	72
299	108	72
300	108	71
301	109	71
302	109	71
303	109	70
304	110	70
305	110	70
306	110	69
307	111	69
308	111	68
309	111	68
310	112	68
311	112	67
312	112	67
313	113	67
314	113	66
315	114	66
316	114	66
317	114	65
318	115	65
319	115	64
320	115	64
321	116	64
322	116	63
323	117	63
324	117	63
325	117	62
326	118	62
327	118	62
328	118	61
329	119	61
330	119	61
331	119	60
332	120	60
333	120	59
334	120	59
335	121	59
336	121	58
337	122	58
338	122	58
339	122	57
340	123	57
341	123	57
342	123	56
343	124	56
344	124	56
345	125	55
346	125	55
347	125	54
348	126	54
349	126	54
350	126	53
351	127	53
352	127	53
353	127	52
354	128	52
355	128	51
356	128	51
357	129	51
358	129	50
359	129	50
360	130	50
361	130	49
362	130	49
363	131	49
364	131	48
365	131	48
366	132	47
367	132	47
368	132	47
369	133	46
370	133	46
371	133	46
372	134	45
373	134	45
374	134	44
375	135	44
376	135	44
377	136	43
378	136	43
379	136	43
380	137	42
381	137	42
382	137	42
383	138	41
384	138	41
385	138	41
386	139	40
387	139	40
388	139	39
389	140	39
390	140	39
391	141	38
392	141	38
393	141	38
394	142	37
395	142	37
396	142	37
397	143	36
398	143	36
399	143	35
400	144	35
401	144	35
402	144	34
403	145	34
404	145	34
405	145	33
406	146	33
407	146	33
408	146	32
409	147	32
410	147	31
411	148	31
412	148	31
413	148	30
414	149	30
415	149	30
416	149	29
417	150	29
418	150	29
419	151	28
420	151	28
421	151	28
422	152	27
423	152	27
424	152	26
425	153	26
426	153	26
427	154	25
428	154	25
429	155	25
430	155	24
431	155	24
432	156	24
433	156	23
434	156	23
435	157	23
436	157	22
437	157	22
438	158	22
439	158	21
440	159	21
441	159	20
442	159	20
443	160	20
444	160	19
445	161	19
446	161	19
447	161	18
448	162	18
449	162	18
450	162	17
451	163	17
452	164	17
453	165	16
454	165	16
455	166	16
456	167	15
457	168	15
458	169	15
459	170	14
460	170	14
461	171	14
462	171	13
463	172	13
464	172	12
465	172	12
466	173	12
467	173	11
468	174	11
469	174	11
470	174	10
471	175	10
472	175	10
473	176	9
474	176	9
475	176	8
476	177	8
477	177	8
478	178	7
479	178	7
480	179	7
481	180	6
482	180	6
483	180	5
484	181	5
485	183	5
486	184	4
487	185	4
488	185	4
489	186	3
490	186	3
491	187	3
492	188	2
493	189	2
494	189	1
495	189	1
496	190	1
497	190	0
498	191	0
499	192	0
