iter	Passed	Remaining
0	0	261
1	1	252
2	1	244
3	1	236
4	2	233
5	2	232
6	3	242
7	3	241
8	4	238
9	4	236
10	5	235
11	5	232
12	6	230
13	6	228
14	7	229
15	7	228
16	8	227
17	8	225
18	8	224
19	9	230
20	10	231
21	10	231
22	11	232
23	11	231
24	12	230
25	12	229
26	13	228
27	13	226
28	13	226
29	14	225
30	14	224
31	15	223
32	15	222
33	16	220
34	16	220
35	17	219
36	17	218
37	18	218
38	18	218
39	18	217
40	19	216
41	19	215
42	20	215
43	20	214
44	21	214
45	21	213
46	22	213
47	22	212
48	23	211
49	23	210
50	23	210
51	24	209
52	24	208
53	25	208
54	25	207
55	26	206
56	26	206
57	27	205
58	27	205
59	27	204
60	28	203
61	28	203
62	29	202
63	29	201
64	30	202
65	30	201
66	31	200
67	31	200
68	31	199
69	32	199
70	32	198
71	33	198
72	33	197
73	34	197
74	34	196
75	35	196
76	35	196
77	36	195
78	36	194
79	36	194
80	37	193
81	37	192
82	38	192
83	38	191
84	39	191
85	39	190
86	40	190
87	40	189
88	41	189
89	41	189
90	42	188
91	42	188
92	42	187
93	43	187
94	43	186
95	44	186
96	44	185
97	45	185
98	45	184
99	45	183
100	46	183
101	46	182
102	47	182
103	47	181
104	48	181
105	48	181
106	49	180
107	49	180
108	50	179
109	50	178
110	51	180
111	52	180
112	52	179
113	52	178
114	53	178
115	53	178
116	54	177
117	54	176
118	55	176
119	55	175
120	55	175
121	56	174
122	56	174
123	57	174
124	57	173
125	58	172
126	58	172
127	59	171
128	59	171
129	59	170
130	60	170
131	60	169
132	61	169
133	61	168
134	62	168
135	62	168
136	63	168
137	64	167
138	64	167
139	64	167
140	65	166
141	66	166
142	66	165
143	66	165
144	67	164
145	67	164
146	68	163
147	68	163
148	69	162
149	69	162
150	70	161
151	70	161
152	70	160
153	71	160
154	71	159
155	72	159
156	72	159
157	73	158
158	73	157
159	74	157
160	74	157
161	75	156
162	75	156
163	76	155
164	76	155
165	77	155
166	77	154
167	77	154
168	78	153
169	78	153
170	79	152
171	79	152
172	80	152
173	80	151
174	81	151
175	82	151
176	82	150
177	83	150
178	83	149
179	84	149
180	84	149
181	85	148
182	85	148
183	85	147
184	86	146
185	86	146
186	87	145
187	87	145
188	88	145
189	88	145
190	89	144
191	90	144
192	90	144
193	90	143
194	91	142
195	91	142
196	92	141
197	92	141
198	93	140
199	93	140
200	94	139
201	94	139
202	94	138
203	95	138
204	95	137
205	96	138
206	97	137
207	97	137
208	98	136
209	98	136
210	99	135
211	99	135
212	99	134
213	100	134
214	100	133
215	101	133
216	101	132
217	102	131
218	102	131
219	102	130
220	103	130
221	103	130
222	104	129
223	104	129
224	105	128
225	105	128
226	106	127
227	106	127
228	106	126
229	107	126
230	107	125
231	108	125
232	108	124
233	109	124
234	109	123
235	110	123
236	110	122
237	110	122
238	111	121
239	111	121
240	112	120
241	112	120
242	113	119
243	113	119
244	114	118
245	114	118
246	114	117
247	115	117
248	115	116
249	116	116
250	116	115
251	117	115
252	117	114
253	118	114
254	118	113
255	118	113
256	119	112
257	119	112
258	120	111
259	120	111
260	121	111
261	121	110
262	122	110
263	122	109
264	123	109
265	123	108
266	124	108
267	124	107
268	125	107
269	125	107
270	126	106
271	126	106
272	126	105
273	127	105
274	128	104
275	128	104
276	128	103
277	129	103
278	129	102
279	130	102
280	130	101
281	131	101
282	131	100
283	132	100
284	132	99
285	132	99
286	133	99
287	133	98
288	134	98
289	134	97
290	135	97
291	136	96
292	136	96
293	137	96
294	137	95
295	138	95
296	138	94
297	139	94
298	139	93
299	140	93
300	140	92
301	140	92
302	141	91
303	141	91
304	142	90
305	142	90
306	143	89
307	143	89
308	144	89
309	144	88
310	145	88
311	145	87
312	145	87
313	146	86
314	146	86
315	147	85
316	147	85
317	148	85
318	149	84
319	149	84
320	150	83
321	150	83
322	151	82
323	151	82
324	152	82
325	152	81
326	153	81
327	153	80
328	154	80
329	154	79
330	154	79
331	155	78
332	155	78
333	156	77
334	156	77
335	157	76
336	157	76
337	157	75
338	158	75
339	158	74
340	159	74
341	159	73
342	160	73
343	160	72
344	161	72
345	161	71
346	162	71
347	162	70
348	163	70
349	163	70
350	163	69
351	164	69
352	164	68
353	165	68
354	165	67
355	166	67
356	166	66
357	167	66
358	167	65
359	168	65
360	168	64
361	169	64
362	169	63
363	169	63
364	170	63
365	170	62
366	171	62
367	171	61
368	172	61
369	172	60
370	172	60
371	173	59
372	173	59
373	174	58
374	174	58
375	175	57
376	175	57
377	176	56
378	176	56
379	177	55
380	177	55
381	178	55
382	178	54
383	178	54
384	179	53
385	179	53
386	180	52
387	180	52
388	181	51
389	181	51
390	182	50
391	182	50
392	183	49
393	183	49
394	183	48
395	184	48
396	184	47
397	185	47
398	185	46
399	186	46
400	186	46
401	186	45
402	187	45
403	187	44
404	188	44
405	188	43
406	189	43
407	189	42
408	190	42
409	190	41
410	191	41
411	191	40
412	192	40
413	192	39
414	192	39
415	193	39
416	193	38
417	194	38
418	194	37
419	195	37
420	195	36
421	196	36
422	196	35
423	196	35
424	197	34
425	197	34
426	198	33
427	198	33
428	199	32
429	199	32
430	200	32
431	200	31
432	201	31
433	201	30
434	202	30
435	202	29
436	202	29
437	203	28
438	204	28
439	204	27
440	205	27
441	205	26
442	205	26
443	206	26
444	206	25
445	207	25
446	207	24
447	208	24
448	208	23
449	209	23
450	209	22
451	209	22
452	210	21
453	210	21
454	211	20
455	211	20
456	212	19
457	212	19
458	213	19
459	213	18
460	214	18
461	214	17
462	215	17
463	215	16
464	215	16
465	216	15
466	216	15
467	217	14
468	217	14
469	218	13
470	218	13
471	218	12
472	219	12
473	219	12
474	220	11
475	220	11
476	221	10
477	221	10
478	222	9
479	222	9
480	222	8
481	223	8
482	223	7
483	224	7
484	224	6
485	225	6
486	225	6
487	226	5
488	226	5
489	226	4
490	227	4
491	227	3
492	228	3
493	228	2
494	229	2
495	229	1
496	230	1
497	230	0
498	231	0
499	231	0
