iter	Passed	Remaining
0	1	641
1	2	591
2	3	568
3	4	587
4	6	598
5	7	602
6	8	612
7	9	603
8	10	594
9	12	593
10	13	593
11	14	588
12	15	581
13	16	577
14	17	573
15	18	568
16	19	564
17	21	568
18	22	568
19	23	566
20	24	561
21	25	557
22	26	556
23	28	558
24	29	558
25	30	559
26	31	555
27	32	552
28	33	549
29	34	546
30	35	543
31	37	544
32	38	542
33	39	539
34	40	538
35	41	535
36	42	533
37	43	532
38	44	531
39	46	530
40	47	530
41	48	528
42	49	526
43	50	524
44	52	530
45	53	530
46	55	530
47	56	529
48	57	527
49	58	525
50	59	523
51	60	522
52	61	521
53	62	520
54	64	517
55	65	516
56	66	518
57	67	516
58	69	516
59	70	514
60	71	512
61	72	510
62	73	508
63	74	506
64	75	505
65	76	504
66	78	504
67	79	502
68	80	501
69	81	500
70	82	498
71	83	497
72	84	497
73	86	496
74	87	495
75	88	493
76	89	491
77	90	490
78	91	488
79	92	487
80	94	487
81	95	486
82	96	484
83	97	484
84	98	482
85	100	481
86	102	484
87	103	484
88	104	484
89	106	484
90	107	482
91	108	483
92	110	482
93	111	481
94	112	480
95	113	479
96	115	478
97	116	477
98	117	476
99	118	475
100	120	474
101	121	473
102	122	472
103	123	470
104	125	470
105	126	469
106	127	468
107	128	467
108	130	466
109	131	465
110	132	464
111	133	463
112	135	462
113	136	461
114	137	460
115	138	459
116	139	457
117	140	455
118	141	454
119	143	453
120	145	455
121	146	454
122	147	452
123	149	451
124	150	450
125	151	449
126	152	448
127	153	447
128	155	445
129	156	444
130	157	443
131	158	443
132	160	442
133	161	441
134	162	439
135	163	438
136	165	437
137	166	436
138	167	435
139	168	434
140	170	432
141	171	431
142	172	431
143	174	430
144	175	429
145	177	430
146	178	429
147	179	428
148	181	426
149	182	426
150	183	425
151	185	423
152	186	422
153	187	421
154	188	419
155	189	418
156	191	417
157	192	416
158	193	415
159	194	413
160	195	412
161	197	411
162	198	410
163	199	409
164	201	408
165	202	406
166	203	405
167	204	404
168	205	403
169	207	402
170	208	401
171	209	399
172	210	398
173	212	397
174	213	396
175	214	395
176	216	394
177	217	393
178	219	392
179	220	391
180	221	390
181	222	389
182	224	388
183	225	387
184	226	386
185	228	385
186	229	383
187	230	383
188	232	382
189	233	381
190	234	380
191	236	379
192	238	378
193	239	377
194	240	376
195	242	376
196	244	375
197	245	374
198	246	373
199	248	372
200	249	371
201	250	370
202	252	368
203	253	367
204	255	367
205	256	366
206	257	365
207	259	364
208	261	363
209	262	362
210	263	361
211	265	360
212	266	359
213	268	358
214	269	357
215	271	356
216	272	355
217	274	354
218	275	353
219	277	353
220	278	351
221	280	350
222	281	349
223	282	348
224	283	347
225	285	345
226	286	345
227	288	343
228	289	342
229	290	341
230	292	340
231	293	339
232	295	338
233	296	337
234	298	336
235	299	334
236	300	333
237	302	332
238	303	331
239	305	330
240	306	329
241	307	328
242	309	327
243	310	326
244	312	324
245	313	323
246	315	322
247	316	321
248	318	320
249	319	319
250	321	318
251	322	317
252	323	316
253	325	314
254	326	313
255	327	312
256	329	311
257	330	310
258	331	308
259	333	307
260	334	306
261	336	305
262	337	304
263	338	303
264	340	301
265	341	300
266	343	299
267	344	298
268	345	297
269	347	295
270	348	294
271	351	294
272	352	293
273	354	292
274	355	290
275	356	289
276	357	287
277	358	286
278	360	285
279	361	283
280	362	282
281	363	281
282	365	279
283	366	278
284	368	277
285	369	276
286	370	275
287	372	274
288	373	272
289	375	271
290	376	270
291	377	269
292	379	267
293	380	266
294	382	265
295	384	265
296	386	263
297	387	262
298	388	261
299	390	260
300	391	259
301	393	257
302	394	256
303	395	255
304	396	253
305	398	252
306	400	251
307	401	250
308	402	248
309	404	247
310	405	246
311	407	245
312	408	244
313	410	243
314	411	241
315	414	241
316	415	240
317	417	238
318	418	237
319	419	236
320	421	234
321	422	233
322	424	232
323	425	231
324	427	230
325	428	228
326	429	227
327	431	226
328	432	224
329	433	223
330	434	221
331	436	220
332	437	219
333	439	218
334	440	216
335	441	215
336	442	214
337	444	212
338	445	211
339	446	210
340	448	209
341	450	208
342	451	206
343	453	205
344	454	204
345	455	202
346	457	201
347	458	200
348	459	198
349	460	197
350	462	196
351	463	194
352	464	193
353	465	192
354	466	190
355	468	189
356	469	188
357	470	186
358	472	185
359	473	184
360	474	182
361	476	181
362	477	180
363	478	178
364	480	177
365	481	176
366	482	174
367	484	173
368	485	172
369	486	171
370	488	169
371	489	168
372	490	167
373	492	165
374	493	164
375	494	163
376	496	162
377	498	160
378	499	159
379	500	158
380	501	156
381	502	155
382	504	154
383	505	152
384	507	151
385	508	150
386	510	148
387	511	147
388	513	146
389	514	145
390	515	143
391	517	142
392	518	141
393	519	139
394	521	138
395	522	137
396	523	135
397	525	134
398	526	133
399	528	132
400	529	130
401	530	129
402	531	127
403	532	126
404	534	125
405	536	124
406	537	122
407	538	121
408	539	120
409	540	118
410	542	117
411	544	116
412	545	114
413	546	113
414	548	112
415	549	110
416	550	109
417	551	108
418	553	106
419	554	105
420	555	104
421	556	102
422	557	101
423	559	100
424	560	98
425	561	97
426	563	96
427	564	94
428	565	93
429	567	92
430	568	90
431	569	89
432	571	88
433	572	87
434	573	85
435	574	84
436	576	83
437	577	81
438	578	80
439	579	79
440	581	77
441	582	76
442	584	75
443	585	73
444	586	72
445	588	71
446	589	69
447	591	68
448	592	67
449	594	66
450	595	64
451	596	63
452	598	62
453	599	60
454	601	59
455	602	58
456	604	56
457	605	55
458	607	54
459	609	53
460	610	51
461	612	50
462	613	49
463	614	47
464	615	46
465	617	45
466	618	43
467	619	42
468	620	41
469	621	39
470	623	38
471	625	37
472	626	35
473	628	34
474	629	33
475	630	31
476	632	30
477	633	29
478	634	27
479	635	26
480	637	25
481	638	23
482	639	22
483	641	21
484	642	19
485	643	18
486	644	17
487	645	15
488	647	14
489	648	13
490	650	11
491	651	10
492	652	9
493	653	7
494	655	6
495	657	5
496	658	3
497	659	2
498	661	1
499	662	0
