iter	RMSE
0	0.2290818749
1	0.2234080536
2	0.2177225908
3	0.2126127958
4	0.2075276709
5	0.2028678262
6	0.1985037061
7	0.1940040565
8	0.1899385149
9	0.1860284348
10	0.182996322
11	0.1796879135
12	0.1764240478
13	0.1735934192
14	0.1708718542
15	0.1684917903
16	0.1660571917
17	0.1639006753
18	0.1616087595
19	0.1596575187
20	0.1579424532
21	0.1564481988
22	0.1547763593
23	0.1530479129
24	0.1516611309
25	0.1503132137
26	0.1489882649
27	0.1478575933
28	0.1467539047
29	0.1456774142
30	0.1447364158
31	0.1439501097
32	0.1430636138
33	0.1421742037
34	0.1413325406
35	0.140695623
36	0.1399700798
37	0.1391923478
38	0.1385903202
39	0.1379879943
40	0.1373082808
41	0.1368089959
42	0.1360706662
43	0.1355500003
44	0.1349546927
45	0.134429382
46	0.1339737546
47	0.1334447933
48	0.1329843941
49	0.1325850472
50	0.1322560287
51	0.1318728901
52	0.1315174127
53	0.1312766773
54	0.1310249561
55	0.1307723018
56	0.1304314254
57	0.1302029004
58	0.1299631356
59	0.1296743512
60	0.1294712364
61	0.1292410673
62	0.1290097475
63	0.1288738683
64	0.1286900623
65	0.1284670203
66	0.1282160908
67	0.1280810883
68	0.1278405116
69	0.1277065413
70	0.1274951318
71	0.1273569845
72	0.1272330299
73	0.1270139513
74	0.1268300288
75	0.1267212788
76	0.1265369283
77	0.1264073205
78	0.1263272517
79	0.1261069548
80	0.1260174165
81	0.1258181084
82	0.1257003472
83	0.125520383
84	0.125418362
85	0.1252142944
86	0.1250068006
87	0.1248320324
88	0.1246113948
89	0.1244911579
90	0.1243825232
91	0.1242674426
92	0.1241426884
93	0.1240107608
94	0.1239220839
95	0.123827027
96	0.1235643438
97	0.123417802
98	0.1233388041
99	0.1232385761
100	0.123141377
101	0.1230704684
102	0.1229001297
103	0.122768095
104	0.1227628438
105	0.1225439532
106	0.1224934377
107	0.1223859202
108	0.1221950057
109	0.1220695186
110	0.1219701049
111	0.1218523454
112	0.1217128109
113	0.1216275158
114	0.1214988392
115	0.1214459942
116	0.1213078916
117	0.1212565494
118	0.1211261155
119	0.1210735756
120	0.1209134778
121	0.1208314593
122	0.1206941184
123	0.1205949267
124	0.1205086749
125	0.1204292729
126	0.1202648427
127	0.120212533
128	0.1201089736
129	0.1200261813
130	0.1199372657
131	0.1198603512
132	0.1197344848
133	0.1196391874
134	0.1195873002
135	0.1195289337
136	0.1193663985
137	0.119287573
138	0.1191803911
139	0.1190758051
140	0.1189063324
141	0.1187431983
142	0.1186333681
143	0.1184737974
144	0.1182713
145	0.1180936704
146	0.1179592574
147	0.1178398689
148	0.1177503695
149	0.1176360098
150	0.1175553969
151	0.1174540077
152	0.1173214336
153	0.1172012278
154	0.1171204423
155	0.1169618824
156	0.1168438309
157	0.1167126069
158	0.1165543795
159	0.1164419415
160	0.1162223268
161	0.116114774
162	0.1159439059
163	0.1157692593
164	0.1156005157
165	0.1155557899
166	0.1154687684
167	0.115245195
168	0.1150957099
169	0.1150231684
170	0.1149135728
171	0.1148075271
172	0.114677606
173	0.1145864899
174	0.1144361084
175	0.1142831307
176	0.1141747324
177	0.1140719408
178	0.1140572607
179	0.1139101668
180	0.1137844864
181	0.1135195533
182	0.113454223
