iter	Passed	Remaining
0	0	247
1	0	229
2	1	239
3	1	230
4	2	228
5	2	229
6	3	233
7	3	229
8	4	230
9	4	228
10	5	225
11	5	223
12	5	220
13	6	221
14	6	220
15	7	220
16	7	218
17	8	217
18	8	218
19	9	216
20	9	215
21	9	216
22	10	218
23	11	218
24	11	217
25	11	216
26	12	216
27	12	216
28	13	215
29	13	214
30	14	212
31	14	213
32	14	212
33	15	210
34	15	209
35	16	208
36	16	207
37	17	207
38	17	206
39	17	205
40	18	205
41	18	204
42	19	203
43	19	203
44	20	202
45	20	202
46	20	201
47	21	200
48	21	199
49	22	198
50	22	198
51	22	197
52	23	196
53	23	195
54	24	195
55	24	194
56	24	193
57	25	192
58	25	192
59	26	192
60	26	191
61	27	190
62	27	190
63	27	189
64	28	188
65	28	188
66	29	187
67	29	186
68	29	186
69	30	185
70	30	185
71	31	184
72	31	184
73	31	183
74	32	183
75	32	182
76	33	182
77	33	181
78	34	181
79	34	181
80	34	180
81	35	180
82	35	180
83	36	180
84	36	179
85	37	179
86	37	178
87	38	178
88	38	177
89	38	177
90	39	176
91	39	176
92	40	175
93	40	175
94	41	174
95	41	174
96	41	174
97	42	173
98	42	173
99	43	173
100	43	172
101	44	172
102	44	171
103	45	171
104	45	170
105	45	169
106	45	168
107	46	168
108	46	167
109	47	167
110	47	166
111	47	166
112	48	165
113	48	165
114	49	165
115	49	164
116	50	164
117	50	163
118	51	163
119	51	162
120	51	162
121	52	162
122	52	161
123	53	161
124	53	160
125	53	160
126	54	159
127	54	159
128	55	158
129	55	158
130	56	157
131	56	157
132	56	157
133	57	157
134	57	156
135	58	156
136	58	155
137	59	155
138	59	154
139	60	154
140	60	153
141	60	153
142	61	152
143	61	152
144	62	151
145	62	151
146	62	150
147	63	150
148	63	150
149	64	149
150	64	149
151	64	148
152	65	148
153	65	147
154	66	147
155	66	147
156	67	147
157	67	147
158	68	146
159	68	146
160	69	145
161	69	145
162	69	144
163	70	144
164	70	143
165	71	143
166	71	142
167	72	142
168	72	141
169	72	141
170	73	141
171	73	140
172	74	140
173	74	139
174	75	139
175	75	139
176	75	138
177	76	138
178	76	137
179	77	137
180	77	137
181	78	136
182	78	136
183	79	135
184	79	135
185	80	135
186	80	134
187	81	134
188	81	134
189	82	133
190	82	133
191	82	132
192	83	132
193	83	132
194	84	131
195	84	131
196	84	130
197	85	130
198	85	129
199	86	129
200	86	128
201	87	128
202	87	128
203	87	127
204	88	127
205	88	126
206	89	126
207	89	126
208	90	125
209	90	125
210	91	125
211	91	124
212	92	124
213	92	123
214	93	123
215	93	123
216	94	122
217	94	122
218	94	121
219	95	121
220	95	120
221	96	120
222	96	120
223	97	119
224	97	119
225	98	118
226	98	118
227	98	118
228	99	117
229	100	117
230	100	117
231	101	116
232	101	116
233	101	115
234	102	115
235	102	115
236	103	114
237	103	114
238	104	113
239	104	113
240	105	113
241	105	112
242	106	112
243	106	112
244	107	111
245	107	111
246	107	110
247	108	110
248	108	109
249	109	109
250	109	108
251	110	108
252	110	107
253	110	107
254	111	106
255	111	106
256	112	106
257	112	105
258	113	105
259	113	104
260	114	104
261	114	103
262	114	103
263	115	103
264	115	102
265	116	102
266	116	101
267	116	101
268	117	100
269	117	100
270	118	99
271	118	99
272	118	98
273	119	98
274	119	98
275	120	97
276	120	97
277	121	96
278	121	96
279	121	95
280	122	95
281	122	94
282	123	94
283	123	93
284	123	93
285	124	93
286	124	92
287	125	92
288	125	91
289	126	91
290	126	90
291	127	90
292	127	90
293	127	89
294	128	89
295	128	88
296	129	88
297	129	87
298	129	87
299	130	86
300	130	86
301	131	86
302	131	85
303	132	85
304	132	84
305	132	84
306	133	83
307	133	83
308	134	83
309	135	82
