iter	Passed	Remaining
0	0	485
1	1	404
2	2	390
3	2	367
4	3	346
5	4	335
6	4	324
7	5	315
8	5	307
9	6	301
10	6	298
11	7	301
12	8	302
13	8	309
14	9	307
15	10	304
16	10	301
17	11	306
18	12	305
19	12	305
20	13	302
21	13	300
22	14	297
23	14	295
24	15	292
25	16	292
26	16	290
27	17	287
28	17	286
29	18	284
30	18	284
31	19	286
32	20	288
33	20	286
34	21	285
35	22	284
36	22	283
37	23	282
38	23	280
39	24	279
40	24	277
41	25	276
42	25	274
43	26	272
44	26	272
45	27	271
46	28	270
47	28	269
48	29	268
49	29	266
50	30	264
51	30	264
52	31	263
53	31	263
54	32	262
55	32	260
56	33	259
57	33	258
58	34	257
59	34	255
60	35	255
61	35	253
62	36	252
63	36	251
64	37	250
65	37	249
66	38	248
67	38	247
68	39	246
69	39	245
70	40	244
71	41	243
72	41	243
73	42	242
74	42	241
75	43	240
76	43	239
77	44	238
78	44	237
79	45	236
80	45	235
81	46	235
82	46	234
83	47	234
84	48	234
85	48	234
86	49	233
87	49	233
88	50	233
89	51	233
90	51	232
91	52	231
92	52	230
93	53	229
94	53	229
95	54	228
96	54	227
97	55	227
98	56	226
99	56	226
100	56	225
101	57	224
102	57	223
103	58	223
104	59	222
105	59	221
106	60	221
107	60	220
108	61	219
109	61	218
110	62	217
111	62	217
112	63	217
113	63	216
114	64	216
115	65	215
116	65	214
117	66	214
118	66	213
119	67	212
120	67	211
121	68	211
122	68	210
123	69	209
124	69	209
125	70	208
126	70	208
127	71	207
128	71	207
129	72	206
130	72	205
131	73	204
132	74	204
133	74	203
134	75	202
135	75	202
136	76	201
137	76	201
138	77	200
139	77	199
140	78	199
141	78	198
142	79	198
143	79	197
144	80	196
145	80	196
146	81	195
147	81	194
148	82	193
149	82	193
150	83	192
151	83	192
152	84	191
153	84	190
154	85	190
155	86	189
156	86	189
157	87	188
158	87	187
159	88	187
160	88	186
161	89	186
162	89	185
163	90	184
164	90	184
165	91	183
166	91	182
167	92	182
168	92	181
169	93	180
170	93	180
171	94	179
172	94	179
173	95	178
174	95	178
175	96	177
176	96	176
177	97	176
178	97	175
179	98	174
180	98	174
181	99	173
182	99	173
183	100	172
184	100	171
185	101	171
186	101	170
187	102	170
188	103	169
189	103	168
190	104	168
191	104	167
192	105	167
193	105	166
194	106	165
195	106	165
196	107	164
197	107	164
198	108	163
199	108	163
200	109	162
201	109	162
202	110	161
203	111	161
204	111	160
205	112	159
206	112	159
207	113	158
208	113	158
209	114	157
210	114	157
211	115	156
212	115	156
213	116	155
214	117	155
215	117	154
216	118	154
217	119	153
218	119	153
219	120	152
220	120	152
221	121	151
222	121	151
223	122	150
224	122	150
225	123	149
226	123	149
227	124	148
228	125	147
229	125	147
230	126	147
231	126	146
232	127	146
233	128	145
234	128	145
235	129	144
236	129	144
237	130	143
238	130	142
239	131	142
240	131	141
241	132	141
242	133	140
243	133	140
244	134	139
245	135	139
246	135	139
247	136	138
248	136	137
249	137	137
250	137	136
251	138	136
252	138	135
253	139	135
254	140	134
255	140	134
256	141	133
257	141	133
258	142	132
259	143	132
260	143	131
261	144	131
262	145	130
263	145	130
264	146	129
265	147	129
266	147	128
267	148	128
268	148	127
269	149	127
270	150	126
271	150	126
272	151	125
273	151	125
274	152	124
275	152	124
276	153	123
277	154	123
278	154	122
279	155	122
280	155	121
281	156	120
282	157	120
283	157	119
284	158	119
285	158	118
286	159	118
287	159	117
288	160	117
289	161	116
290	161	116
291	162	115
292	162	115
293	163	114
294	164	114
295	164	113
296	165	113
297	166	112
298	166	112
299	167	111
300	168	111
301	169	110
302	169	110
303	170	109
304	170	109
305	171	108
306	171	108
307	172	107
308	173	107
309	173	106
310	174	105
311	174	105
312	175	104
313	175	104
314	176	103
315	176	103
316	177	102
317	178	101
318	178	101
319	179	100
320	179	100
321	181	100
322	182	99
323	182	99
324	183	98
325	183	98
326	184	97
327	185	97
328	185	96
329	186	95
330	186	95
331	187	94
332	188	94
333	188	93
334	189	93
335	189	92
336	190	91
337	190	91
338	191	90
339	191	90
340	192	89
341	192	89
342	193	88
343	193	87
344	194	87
345	194	86
346	195	86
347	195	85
348	196	85
349	197	84
350	197	83
351	198	83
352	198	82
353	199	82
354	199	81
355	200	81
356	201	80
357	201	80
358	202	79
359	202	78
360	203	78
361	203	77
362	204	77
363	204	76
364	205	75
365	205	75
366	206	74
367	207	74
368	207	73
369	208	73
370	208	72
371	209	71
372	209	71
373	210	70
374	210	70
375	211	69
376	211	69
377	212	68
378	212	67
379	213	67
380	213	66
381	214	66
382	214	65
383	215	65
384	216	64
385	216	63
386	217	63
387	217	62
388	218	62
389	218	61
390	219	61
391	219	60
392	220	59
393	220	59
394	221	58
395	221	58
396	222	57
397	222	57
398	223	56
399	223	55
400	224	55
401	224	54
402	225	54
403	225	53
404	226	53
405	227	52
406	227	51
407	228	51
408	228	50
409	229	50
410	229	49
411	230	49
412	230	48
413	231	48
414	231	47
415	232	46
416	232	46
417	233	45
418	233	45
419	234	44
420	234	44
421	235	43
422	235	42
423	236	42
424	236	41
425	237	41
426	238	40
427	239	40
428	239	39
429	240	39
430	240	38
431	241	37
432	241	37
433	242	36
434	242	36
435	243	35
436	243	35
437	244	34
438	244	34
439	245	33
440	246	32
441	246	32
442	247	31
443	247	31
444	248	30
445	248	30
446	249	29
447	249	28
448	250	28
449	250	27
450	251	27
451	251	26
452	252	26
453	252	25
454	253	25
455	253	24
456	254	23
457	254	23
458	255	22
459	255	22
460	256	21
461	256	21
462	257	20
463	257	20
464	258	19
465	259	18
466	259	18
467	260	17
468	260	17
469	261	16
470	261	16
471	262	15
472	262	14
473	263	14
474	263	13
475	264	13
476	264	12
477	265	12
478	265	11
479	266	11
480	267	10
481	267	9
482	268	9
483	268	8
484	269	8
485	270	7
486	270	7
487	271	6
488	272	6
489	272	5
490	273	5
491	274	4
492	274	3
493	275	3
494	276	2
495	276	2
496	277	1
497	277	1
498	278	0
499	278	0
