iter	RMSE
0	0.2296081294
1	0.223929323
2	0.2180141138
3	0.2126344103
4	0.207753568
5	0.2029186281
6	0.1986462389
7	0.1939661779
8	0.19026066
9	0.1866056127
10	0.183208392
11	0.1797976562
12	0.1764244007
13	0.1733966668
14	0.1706431125
15	0.1684494583
16	0.1658473086
17	0.1634725917
18	0.1610935752
19	0.1594499552
20	0.1574572128
21	0.1557053063
22	0.1539393282
23	0.1523821888
24	0.151041601
25	0.1495826467
26	0.1482879281
27	0.1471410081
28	0.1459840783
29	0.1448909653
30	0.1438799865
31	0.1429403459
32	0.1420254876
33	0.1411986066
34	0.1402913867
35	0.1395807231
36	0.1388742828
37	0.1381369945
38	0.1374443938
39	0.1369043899
40	0.1363291092
41	0.1357992926
42	0.1351626071
43	0.1346602693
44	0.1339973286
45	0.133420989
46	0.132893573
47	0.1324823576
48	0.1320893636
49	0.1317010122
50	0.1312500856
51	0.1309002055
52	0.1305366096
53	0.1302816467
54	0.1299130475
55	0.1295665025
56	0.1292670412
57	0.1289490773
58	0.1286555387
59	0.1283561337
60	0.1279700729
61	0.1277367043
62	0.1274710583
63	0.127216267
64	0.1270247872
65	0.1268628682
66	0.1266630049
67	0.1265080802
68	0.1263095332
69	0.1260958882
70	0.1259601184
71	0.125789301
72	0.1256298612
73	0.1254796835
74	0.1253135421
75	0.1251031216
76	0.1249028208
77	0.1246862834
78	0.1244635256
79	0.1242902502
80	0.1241766744
81	0.1238837566
82	0.1237400308
83	0.1235348294
84	0.1233634112
85	0.1231180682
86	0.1228088178
87	0.1226948722
88	0.1224806421
89	0.1223158806
90	0.1221886193
91	0.1220621087
92	0.1219575694
93	0.1218840774
94	0.1216231502
95	0.1214296219
96	0.1213349907
97	0.1211875005
98	0.1210565878
99	0.1209344936
100	0.1208113747
101	0.1206904281
102	0.1205106088
103	0.1204159826
104	0.1203329683
105	0.1201893171
106	0.1200478796
107	0.1199235592
108	0.119687477
109	0.119536762
110	0.1194698074
111	0.1192851056
112	0.1192105688
113	0.1189936536
114	0.1189327788
115	0.1188076545
116	0.1186751183
117	0.1185075836
118	0.118387688
119	0.1182230975
120	0.1181444595
121	0.1180606626
122	0.1179153407
123	0.1178343511
124	0.1176269663
125	0.1175123849
126	0.1173334289
127	0.1172183914
128	0.1171012503
129	0.1170070505
130	0.1169345076
131	0.116824695
132	0.1166901776
133	0.1165699777
134	0.116516553
135	0.116410268
136	0.1163049187
137	0.1162338908
138	0.1161314771
139	0.1159630256
140	0.1159150879
141	0.1156919005
142	0.1155990633
143	0.1155039661
144	0.1154235047
145	0.1153400123
146	0.1152506743
147	0.1151597557
148	0.115025891
149	0.1149229838
150	0.1147788109
151	0.1146312898
152	0.1144594513
153	0.114274773
154	0.1141741934
155	0.1140697856
156	0.1140106882
157	0.1139505006
158	0.1138505763
159	0.1137334176
160	0.1136668812
161	0.1136139461
162	0.1134883189
163	0.1134351446
164	0.1133059833
165	0.1132461643
166	0.1131305104
167	0.113052718
168	0.1128669125
169	0.1125762766
170	0.1124105016
171	0.1123150651
172	0.1121731828
173	0.1120777776
174	0.1119647655
175	0.1118760738
176	0.1117911133
177	0.1117267209
178	0.1116276778
179	0.1114968021
180	0.1113825307
181	0.1112835271
182	0.111139735
183	0.1110075118
184	0.1108567874
185	0.1107455363
186	0.1106633828
187	0.1105915802
188	0.1105439256
189	0.1103419454
190	0.1102297816
191	0.1101558709
192	0.1100420926
193	0.1099729283
194	0.1098309012
195	0.1096854893
196	0.1096336453
197	0.1095795318
198	0.1093740527
199	0.1092764601
200	0.1090844159
201	0.1090006736
202	0.1089475332
203	0.108846291
204	0.108753207
205	0.1086633385
206	0.108606846
207	0.1085191384
208	0.1083053374
209	0.1081743123
210	0.1080343452
211	0.1078928284
212	0.1076687331
213	0.1075270586
214	0.107366164
215	0.1073312525
216	0.1072739482
217	0.1072068419
218	0.1070926687
219	0.1068943231
220	0.1068337249
221	0.1067472406
222	0.10665865
223	0.1065884861
224	0.1065697219
225	0.1064565441
226	0.1063205606
227	0.1062215201
228	0.1061934202
229	0.106104043
230	0.106018584
231	0.1058964088
232	0.10581784
233	0.1056706187
234	0.1055680049
235	0.105503626
236	0.1054179387
237	0.1054045594
238	0.1052518069
239	0.1051234574
240	0.1050253487
241	0.1048971392
242	0.1047193156
243	0.1045734892
244	0.104463343
245	0.1043231883
246	0.1042350663
247	0.1041750266
248	0.1039808101
249	0.1038785415
250	0.1038032441
251	0.1036993385
252	0.1035665932
253	0.1035083809
254	0.1034018771
255	0.103276327
256	0.1031462639
257	0.1030267713
258	0.1029487477
259	0.1028278347
260	0.1026412749
261	0.1025490291
262	0.1025410743
263	0.1024845692
264	0.1023664522
265	0.1023284767
266	0.1021998668
267	0.1020265028
268	0.1018893946
269	0.1017392925
270	0.1016845342
271	0.1016262006
272	0.1014898822
273	0.1014058853
274	0.1012201099
275	0.1011032279
276	0.1010303206
277	0.1009579997
278	0.1008292799
279	0.1007821567
280	0.1006698389
281	0.1004564725
282	0.1004026821
283	0.100343019
284	0.1002681905
285	0.1000796795
286	0.1000180745
287	0.09984069552
288	0.09976947607
289	0.09969134518
290	0.09958197741
