iter	Passed	Remaining
0	0	198
1	0	213
2	1	220
3	1	216
4	2	227
5	2	215
6	2	207
7	3	201
8	3	193
9	3	187
10	4	183
11	4	182
12	4	182
13	5	187
14	5	192
15	6	189
16	6	186
17	7	190
18	7	188
19	7	184
20	7	182
21	8	180
22	8	183
23	9	185
24	9	183
25	9	181
26	10	182
27	10	180
28	11	178
29	11	177
30	11	175
31	11	173
32	12	172
33	12	170
34	12	169
35	13	168
36	13	166
37	13	169
38	14	172
39	15	173
40	15	174
41	16	174
42	16	174
43	16	173
44	17	172
45	17	171
46	17	169
47	17	168
48	18	167
49	18	166
50	18	166
51	19	167
52	19	166
53	20	167
54	20	166
55	20	165
56	21	164
57	21	163
58	21	162
59	22	161
60	22	161
61	22	160
62	22	159
63	23	158
64	23	157
65	24	158
66	24	157
67	24	156
68	25	156
69	25	155
70	25	154
71	25	154
72	26	153
73	26	153
74	27	154
75	27	154
76	27	153
77	28	153
78	28	152
79	28	151
80	29	152
81	29	152
82	30	151
83	30	150
84	30	150
85	31	149
86	31	149
87	31	148
88	32	148
89	32	147
90	32	146
91	33	146
92	33	146
93	33	145
94	34	145
95	34	144
96	34	144
97	35	145
98	35	144
99	35	143
100	36	143
101	36	142
102	36	141
103	37	141
104	37	140
105	37	140
106	38	139
107	38	138
108	38	138
109	38	137
110	39	137
111	39	136
112	39	136
113	40	135
114	40	135
115	40	135
116	41	134
117	41	134
118	41	133
119	42	133
120	42	132
121	42	132
122	43	131
123	43	131
124	43	130
125	44	130
126	44	130
127	44	129
128	44	129
129	45	129
130	46	130
131	46	129
132	46	129
133	47	128
134	47	128
135	47	127
136	47	127
137	48	126
138	48	126
139	48	125
140	49	125
141	49	124
142	49	123
143	49	123
144	50	123
145	50	122
146	51	122
147	51	122
148	52	122
149	52	121
150	52	121
151	52	121
152	53	120
153	53	120
154	53	119
155	54	119
156	54	118
157	54	118
158	54	117
159	55	117
160	55	116
161	55	116
162	56	115
163	56	115
164	56	114
165	56	114
166	57	114
167	57	113
168	57	113
169	58	112
170	58	112
171	58	112
172	59	111
173	59	111
174	59	110
175	59	110
176	60	109
177	60	109
178	60	109
179	61	108
180	61	108
181	61	108
182	62	107
183	62	107
184	62	106
185	63	106
186	63	106
187	63	105
188	63	105
189	64	104
190	64	104
191	64	103
192	65	103
193	65	103
194	65	102
195	65	102
196	66	101
197	66	101
198	66	101
199	67	100
200	67	100
201	67	99
202	67	99
203	68	98
204	68	98
205	69	98
206	69	98
207	69	98
208	70	97
209	70	97
210	70	96
211	71	96
212	71	96
213	71	95
214	71	95
215	72	94
216	72	94
217	72	94
218	73	93
219	73	93
220	73	92
221	73	92
222	74	92
223	74	92
224	75	92
225	75	91
226	75	91
227	76	91
228	76	90
229	77	90
230	77	90
231	77	89
232	77	89
233	78	88
234	78	88
235	78	88
236	79	87
237	79	87
238	79	86
239	79	86
240	80	86
241	80	85
242	80	85
243	81	85
244	81	84
245	81	84
246	81	83
247	82	83
248	82	83
249	82	82
250	83	82
251	83	82
252	83	81
253	84	81
254	84	81
255	85	81
256	85	80
257	85	80
258	86	80
259	86	79
260	86	79
261	86	78
262	87	78
263	87	78
264	87	77
265	88	77
266	88	77
267	88	76
268	88	76
269	89	76
270	89	76
271	90	75
272	90	75
273	91	75
274	91	74
275	91	74
276	92	74
277	93	74
278	93	74
279	93	73
280	94	73
281	94	73
282	95	72
283	95	72
284	95	72
285	96	71
286	96	71
287	96	71
288	96	70
289	97	70
290	97	69
291	97	69
292	98	69
293	98	68
294	98	68
295	98	68
296	99	67
297	99	67
298	99	67
299	100	66
300	100	66
301	100	66
302	101	65
303	101	65
304	101	64
305	101	64
