iter	RMSE
0	0.2340870212
1	0.2322407244
2	0.2304363626
3	0.2287584625
4	0.2270996724
5	0.2253803202
6	0.2236728156
7	0.2219322668
8	0.2202465024
9	0.2185577452
10	0.2169732218
11	0.2153918103
12	0.2138331854
13	0.2123950438
14	0.210962341
15	0.2095363038
16	0.2080829475
17	0.206690066
18	0.2053507007
19	0.2039733945
20	0.2026253872
21	0.2011952623
22	0.1998864994
23	0.1985802349
24	0.1972414031
25	0.1960319674
26	0.1947508447
27	0.1934461984
28	0.192337123
29	0.1911910706
30	0.1900287215
31	0.1888702225
32	0.1876920577
33	0.1865800047
34	0.1854718049
35	0.184351212
36	0.1832697736
37	0.1822369765
38	0.1811918545
39	0.1801623808
40	0.1791961453
41	0.1781748143
42	0.1772323153
43	0.1761995302
44	0.1752331069
45	0.1742740217
46	0.1732785044
47	0.1723600112
48	0.1713902111
49	0.1704827107
50	0.16963026
51	0.1687541038
52	0.1679499726
53	0.1671158592
54	0.1662968382
55	0.1655068728
56	0.1647017211
57	0.1638871655
58	0.1630962188
59	0.1623150816
60	0.1615414371
61	0.1608534674
62	0.1600698754
63	0.1593771759
64	0.1586040627
65	0.1579704243
66	0.1572881489
67	0.1565700698
68	0.1558944659
69	0.1552288547
70	0.1546064155
71	0.1540302228
72	0.1533553319
73	0.1526712977
74	0.1519769579
75	0.1513137094
76	0.1507320258
77	0.1501613684
78	0.1495439536
79	0.1489104761
80	0.148331054
81	0.1477302887
82	0.1472149854
83	0.1466963862
84	0.1461602869
85	0.1456364827
86	0.1450892515
87	0.1446257193
88	0.1442010236
89	0.1437035949
90	0.1431828258
91	0.1427308456
92	0.1423078021
93	0.1417862844
94	0.1412811975
95	0.140827083
96	0.140352054
97	0.1398925816
98	0.1395285916
99	0.139140052
100	0.1387162895
101	0.1382486766
102	0.1378647145
103	0.1374508303
104	0.1370250665
105	0.1365783579
106	0.1361997219
107	0.135777629
108	0.1353986294
109	0.1350164607
110	0.1346210553
111	0.1342273445
112	0.1338731593
113	0.1335501998
114	0.1331644338
115	0.132794851
116	0.1324051981
117	0.1320491048
118	0.1316641687
119	0.131299197
120	0.1309544444
121	0.130619183
122	0.1302749852
123	0.1299332644
124	0.1296318107
125	0.1293343748
126	0.1290571369
127	0.1287401096
128	0.1283787898
129	0.1280582458
130	0.1277955845
131	0.1274822082
132	0.1271529569
133	0.126859054
134	0.1265671992
135	0.1263381333
136	0.1260448228
137	0.1257846648
138	0.1255429741
139	0.1252385751
140	0.1249474556
141	0.124656421
142	0.1243972696
143	0.12414891
144	0.1239265842
145	0.1236874216
146	0.1234062609
147	0.1231444735
148	0.1228926519
149	0.1226138235
150	0.1223627928
151	0.1221073131
152	0.1219179798
153	0.1217219321
154	0.1214934036
155	0.1212740886
156	0.121031464
157	0.120834536
158	0.1205395045
159	0.1203435241
160	0.1200809051
161	0.1198348995
162	0.119583864
163	0.119327629
164	0.1191297783
165	0.1189263116
166	0.1186937319
167	0.1184965981
168	0.1183065476
169	0.1180831496
170	0.1178695643
171	0.1176691351
172	0.1174612529
173	0.117269229
174	0.1170841013
175	0.1168966126
176	0.1166561002
177	0.116452539
178	0.1162271443
179	0.1160280404
180	0.1158227891
181	0.1156410742
182	0.1154514008
183	0.1152366512
184	0.1150065272
185	0.1148355473
186	0.1146220354
187	0.1144589395
188	0.114254919
189	0.1140476628
190	0.1138304734
191	0.1136657048
192	0.1135120587
193	0.1133395086
194	0.1131617287
195	0.1130087772
196	0.1128264798
197	0.1126200545
198	0.1124240304
199	0.1122580742
200	0.1120934888
