iter	Passed	Remaining
0	8236	16465617
1	13677	13663906
2	20082	13368167
3	25842	12895293
4	35997	14363154
5	43581	14483471
6	51033	14529870
7	59701	14865692
8	67490	14930323
9	73739	14674175
10	78897	14266191
11	85412	14150027
12	91190	13938071
13	97105	13775155
14	102072	13507610
15	107716	13356874
16	114342	13337712
17	119824	13194031
18	126328	13171396
19	130621	12931536
20	134791	12702481
21	138730	12473105
22	143343	12321282
23	148175	12199764
24	155908	12316759
25	161946	12295502
26	166320	12153715
27	170735	12024623
28	175396	11920936
29	179730	11802295
30	183969	11685038
31	187750	11546650
32	191623	11421928
33	196833	11381591
34	202839	11387965
35	207927	11343604
36	212976	11299287
37	218701	11291920
38	227430	11435678
39	233474	11440247
40	237768	11360673
41	241751	11270233
42	245453	11170970
43	249948	11111346
44	256130	11127430
45	261282	11098821
46	269112	11182494
47	275582	11207019
48	282538	11249638
49	288955	11269252
50	293553	11218331
51	297320	11138093
52	301698	11083139
53	305270	11001051
54	308908	10924134
55	312464	10846965
56	316274	10781067
57	319930	10712170
58	323354	10637816
59	327019	10573636
60	330553	10507278
61	334262	10448404
62	338038	10393348
63	341748	10337896
64	345609	10288515
65	349796	10250099
66	353289	10192674
67	356681	10133958
68	360012	10075121
69	363537	10023239
70	367449	9983246
71	371293	9942418
72	375682	9916982
73	379466	9876391
74	383269	9837255
75	387226	9802955
76	391659	9781322
77	395879	9754888
78	400255	9732789
79	404113	9698725
80	408108	9668642
81	411956	9635752
82	416002	9608143
83	419766	9574663
84	423051	9531107
85	426304	9487744
86	430253	9460630
87	433915	9427807
88	437305	9389788
89	440480	9347984
90	444398	9322596
91	448130	9293838
92	451603	9260293
93	454897	9223780
94	458448	9193091
95	462014	9163283
96	465519	9132814
97	469082	9104022
98	472317	9069442
99	475801	9040220
100	479142	9008832
101	482658	8981241
102	485952	8950015
103	489232	8919090
104	492913	8895923
105	496282	8867539
106	499382	8834869
107	502702	8806601
108	506324	8784038
109	509868	8760469
110	513353	8736258
111	516937	8714096
112	520691	8695081
113	527763	8731241
114	532561	8729372
115	537092	8723124
116	541208	8710211
117	545100	8693886
118	549758	8689873
119	555657	8705295
120	562835	8740225
121	567353	8733520
122	571647	8723432
123	575429	8705694
124	579591	8693868
125	583283	8675177
126	587670	8666977
127	591428	8649647
128	595145	8631918
129	598886	8614747
130	602647	8598073
131	606553	8583656
132	610251	8566465
133	613898	8548767
134	617562	8531515
135	621435	8517322
136	625041	8499655
137	628917	8485825
138	632589	8469412
139	636567	8457250
140	640166	8440207
141	644077	8427438
142	647813	8412516
143	651800	8400988
144	655540	8386396
145	659254	8371628
146	662950	8356789
147	666815	8344201
148	670714	8332162
149	674508	8318940
150	678282	8305589
151	682144	8293446
152	686128	8282867
153	690018	8271264
154	693862	8259197
155	697811	8248491
156	701811	8238464
157	705640	8226514
158	711445	8237550
159	715016	8222694
160	717917	8200311
161	723392	8207380
162	726039	8182415
163	728506	8155723
164	731968	8140379
165	735088	8121398
166	738149	8101961
167	741143	8081994
168	744373	8064782
169	747969	8051667
170	751387	8036771
171	754537	8019156
172	757497	7999695
173	760227	7978018
174	762829	7955225
175	765652	7934942
176	768902	7919262
177	771526	7897312
178	774321	7877320
179	776910	7855425
180	779503	7833795
181	782208	7813489
182	785089	7795120
183	787573	7773010
184	790172	7752235
185	792739	7731339
186	795404	7711592
187	798273	7693993
188	800814	7673413
189	803552	7654890
190	806314	7636765
191	809180	7619782
192	811994	7602457
193	814651	7583818
194	817476	7566900
195	820129	7548537
196	822763	7530161
197	825474	7512651
198	828572	7498787
199	831201	7480816
200	833900	7463617
201	836591	7446488
202	839254	7429261
203	841788	7411041
204	844508	7394600
205	847166	7377752
206	849673	7359728
207	852375	7343539
208	855030	7327083
209	857513	7309279
210	860130	7292763
211	862509	7274368
212	864784	7255259
213	867009	7235880
214	869345	7217587
215	871622	7198956
216	873892	7180419
217	876450	7164380
218	878968	7148140
219	881415	7131453
220	883825	7114598
221	886257	7098041
222	889125	7085098
223	891885	7071381
224	894311	7055123
225	896677	7038518
226	899164	7022989
227	901563	7006890
228	904187	6992646
229	906625	6977076
230	909243	6962991
231	912280	6952203
232	915189	6940516
233	917665	6925626
234	920204	6911323
235	922615	6896157
236	925202	6882409
237	927606	6867405
238	930210	6853978
239	932765	6840280
240	935206	6825841
241	937815	6812728
242	940387	6799425
243	942922	6785952
244	945331	6771658
245	948091	6759967
246	950720	6747423
247	953178	6733744
248	955866	6721774
249	958259	6707814
250	960702	6694298
251	963236	6681498
252	965780	6668850
253	968102	6654749
254	970574	6641774
255	973339	6630876
256	975559	6616341
257	978033	6603620
258	980464	6590690
259	982908	6577923
260	985326	6565067
261	987928	6553512
